R,I,A,S,E,C,RSES,CDSES,Strand,Label
2,7,3,5,2,2,21,114,GAS,BS Nursing
4,5,2,2,4,6,18,116,STEM,BS Computer Science
6,4,3,4,3,2,23,99,GAS,BS Agriculture
2,3,3,5,4,2,29,89,HUMSS,BS Psychology
6,6,4,2,3,4,35,82,STEM,BS Computer Science
5,7,2,4,2,4,39,74,STEM,BS Architecture
4,5,3,3,3,6,29,65,STEM,BS Information Systems
4,3,4,5,7,5,37,66,ABM,BS Business Administration
4,6,3,3,4,6,35,73,STEM,BS Civil Engineering
4,5,3,3,3,4,24,117,STEM,BS Computer Science
2,4,4,6,5,3,22,78,Arts & Design,BA Communication
7,5,4,4,3,4,30,91,GAS,BS Agriculture
4,3,3,5,3,2,38,65,HUMSS,BS Psychology
7,2,3,3,6,3,34,77,GAS,BS Criminology
6,7,2,4,4,5,38,88,GAS,BS Information Technology
3,2,4,5,6,7,23,109,ABM,BS Accountancy
4,4,5,5,3,3,23,114,HUMSS,BS Education
2,7,3,6,2,2,29,84,STEM,BS Biology
6,5,2,4,3,4,35,61,GAS,BS Civil Engineering
5,5,4,4,3,2,35,70,GAS,BS Agriculture
4,4,4,6,5,3,21,76,HUMSS,BS Tourism Management
2,4,5,5,5,2,18,54,HUMSS,BA Communication
4,5,2,3,2,6,25,80,STEM,BS Computer Science
4,2,4,5,7,6,25,105,ABM,BS Business Administration
2,2,4,4,6,6,31,104,ABM,BS Business Administration
6,7,4,2,2,5,28,58,STEM,BS Computer Science
4,3,2,4,5,6,32,76,ABM,BS Business Administration
5,7,2,2,4,6,18,56,STEM,BS Information Systems
4,6,3,3,2,5,19,66,STEM,BS Civil Engineering
3,3,4,6,5,4,35,107,HUMSS,BS Tourism Management
2,2,5,7,5,2,28,52,GAS,BS Education
4,5,2,7,2,2,20,121,Sports,BS Biology
5,5,4,2,4,6,19,124,Arts & Design,BS Civil Engineering
4,4,3,4,5,7,40,85,ABM,BS Marketing Management
2,4,5,6,4,3,20,46,HUMSS,BS Tourism Management
2,2,4,3,7,6,22,89,ABM,BS Marketing Management
5,6,2,3,4,6,27,123,STEM,BS Civil Engineering
2,7,4,6,4,2,22,78,STEM,BS Biology
5,5,3,4,2,4,28,71,GAS,BS Agriculture
6,6,3,2,2,6,31,80,HUMSS,BS Mechanical Engineering
4,3,3,7,4,4,40,99,HUMSS,BS Psychology
2,7,2,7,2,3,36,115,ABM,BS Nursing
